Status_Conta_Corrente;Duracao_Mes;Proposito;Valor_Credito;Conta_Poupanca;Tempo_Emprego_Atual;Taxa_Parcelamento;Residencia_Atual_Desde;Idade;Moradia;N_Creditos_Existentes;Trabalho;N_Pessoas_Sustento;Telefone;Trabalhador_Estrangeiro;Risco;Faixa_Etaria
< 0 DM;6;Rádio/TV;1169;Sem conta;>= 7 anos;4;4;67;Própria;2;Qualificado;1;Não;Sim;Bom;60+ anos
0 a 200 DM;48;Rádio/TV;5951;< 100 DM;1  a 4 anos;2;2;22;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;12;Educação;2096;< 100 DM;4 a 7 anos;2;3;49;Própria;1;Informal;2;Sim;Sim;Bom;41-50 anos
< 0 DM;42;Móveis/Equipamento;7882;< 100 DM;4 a 7 anos;2;4;45;Favor;1;Qualificado;2;Sim;Sim;Bom;41-50 anos
< 0 DM;24;Carro Novo;4870;< 100 DM;1  a 4 anos;3;4;53;Favor;2;Qualificado;2;Sim;Sim;Ruim;51-60 anos
Sem conta;36;Educação;9055;Sem conta;1  a 4 anos;2;4;35;Favor;1;Informal;2;Não;Sim;Bom;31-40 anos
Sem conta;24;Móveis/Equipamento;2835;500 a 1000 DM;>= 7 anos;3;4;53;Própria;1;Qualificado;1;Sim;Sim;Bom;51-60 anos
0 a 200 DM;36;Carro Usado;6948;< 100 DM;1  a 4 anos;2;2;35;Aluguel;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
Sem conta;12;Rádio/TV;3059;>= 1000 DM;4 a 7 anos;2;4;61;Própria;1;Informal;1;Sim;Sim;Bom;60+ anos
0 a 200 DM;30;Carro Novo;5234;< 100 DM;Desempregado;4;2;28;Própria;2;Autônomo/Gerência/Oficial;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;12;Carro Novo;1295;< 100 DM;< 1 ano;3;1;25;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
